food_type,portion_size,carbohydrates,protein,fat,calories
Ayam Goreng - Dada,123,2.12,32.6,20.55,323
Ayam Goreng - Dada,66,1.27,18.32,10.95,171
Ayam Goreng - Dada,212,4.52,66.76,27.7,517
Ayam Goreng - Dada,201,3.47,59.8,26.95,513
Ayam Goreng - Dada,148,2.89,45.84,24.95,424
Ayam Goreng - Dada,66,1.35,20.56,9.4,169
Ayam Goreng - Dada,239,5.33,70.47,40.05,648
Ayam Goreng - Dada,53,1.09,14.1,8.04,136
Ayam Goreng - Dada,147,2.79,44.66,24.24,402
Ayam Goreng - Dada,176,4.01,51.35,28.35,486
Ayam Goreng - Dada,195,4.29,54.36,33.51,522
Ayam Goreng - Dada,202,3.44,68.99,30.06,585
Ayam Goreng - Dada,59,1.34,19.27,10.07,166
Ayam Goreng - Dada,93,1.99,28.62,12.77,234
Ayam Goreng - Dada,188,3.57,58.78,31.91,542
Ayam Goreng - Dada,94,1.7,25.75,15.9,256
Ayam Goreng - Dada,111,1.95,32.03,15.23,276
Ayam Goreng - Dada,127,2.79,36.24,19.17,340
Ayam Goreng - Dada,114,1.95,29.73,15.46,265
Ayam Goreng - Dada,179,3.87,57.68,29.06,500
Ayam Goreng - Dada,232,4.98,68.89,38.7,653
Ayam Goreng - Dada,234,4.66,67.18,33.05,579
Ayam Goreng - Dada,211,4.59,53.86,35.51,531
Ayam Goreng - Dada,211,3.79,61.5,27.6,484
Ayam Goreng - Dada,99,1.95,32.79,14.11,260
Ayam Goreng - Dada,246,4.35,81.48,31.58,649
Ayam Goreng - Dada,64,1.47,19.89,9.1,166
Ayam Goreng - Dada,235,5.25,73.11,30.92,571
Ayam Goreng - Dada,106,2.41,28.82,17.48,290
Ayam Goreng - Dada,237,4.72,75.11,38.73,651
Ayam Goreng - Paha,118,2.7,30.12,21.45,325
Ayam Goreng - Paha,125,3.03,28.43,28.0,386
Ayam Goreng - Paha,138,3.16,29.73,29.56,400
Ayam Goreng - Paha,148,3.77,38.43,31.98,449
Ayam Goreng - Paha,112,2.86,24.74,22.47,306
Ayam Goreng - Paha,198,4.23,43.42,36.34,528
Ayam Goreng - Paha,191,5.29,43.82,32.73,493
Ayam Goreng - Paha,227,5.12,63.61,46.98,715
Ayam Goreng - Paha,147,3.39,35.36,26.63,404
Ayam Goreng - Paha,149,3.28,33.06,29.16,396
Ayam Goreng - Paha,207,5.69,46.23,39.34,568
Ayam Goreng - Paha,85,2.38,20.42,18.41,255
Ayam Goreng - Paha,229,5.5,61.57,45.19,697
Ayam Goreng - Paha,109,2.55,30.08,23.66,357
Ayam Goreng - Paha,162,3.59,41.49,29.72,439
Ayam Goreng - Paha,79,1.79,20.17,14.11,215
Ayam Goreng - Paha,146,3.89,35.19,30.29,435
Ayam Goreng - Paha,166,3.81,37.81,32.76,446
Ayam Goreng - Paha,76,1.89,20.33,14.54,212
Ayam Goreng - Paha,245,6.56,55.24,52.93,751
Ayam Goreng - Paha,56,1.53,14.26,10.15,155
Ayam Goreng - Paha,191,4.43,52.64,34.52,524
Ayam Goreng - Paha,135,3.51,35.11,23.43,369
Ayam Goreng - Paha,166,3.54,47.0,32.07,474
Ayam Goreng - Paha,186,4.16,44.47,36.46,528
Ayam Goreng - Paha,170,4.75,39.65,35.88,490
Ayam Goreng - Paha,178,4.62,41.63,35.03,489
Ayam Goreng - Paha,146,3.9,39.43,26.71,434
Ayam Goreng - Paha,140,3.29,40.13,26.04,394
Ayam Goreng - Paha,249,6.35,68.31,43.54,696
Ayam Goreng - Sayap,91,2.35,22.85,25.8,317
Ayam Goreng - Sayap,172,4.84,35.0,38.53,511
Ayam Goreng - Sayap,137,4.18,30.65,29.75,411
Ayam Goreng - Sayap,150,4.21,35.43,37.67,476
Ayam Goreng - Sayap,54,1.67,13.45,13.36,172
Ayam Goreng - Sayap,171,5.08,38.83,41.73,549
Ayam Goreng - Sayap,204,6.49,47.24,45.18,605
Ayam Goreng - Sayap,205,5.55,41.9,48.87,605
Ayam Goreng - Sayap,221,6.65,47.88,50.03,647
Ayam Goreng - Sayap,214,6.88,52.84,49.1,711
Ayam Goreng - Sayap,208,6.91,41.72,58.42,739
Ayam Goreng - Sayap,115,3.2,25.12,29.04,373
Ayam Goreng - Sayap,158,4.72,31.22,41.07,534
Ayam Goreng - Sayap,92,2.84,21.8,20.85,291
