food_type,portion_size,carbohydrates,protein,fat,calories
Ayam Goreng - Dada,100,2.02,29.78,15.29,263.56
Ayam Goreng - Paha,100,2.45,24.87,19.49,284.92
Ayam Goreng - Sayap,100,2.96,22.0,24.54,320.11
French Fries,100,39.78,3.49,18.07,337.07
Jagung,100,20.34,3.49,1.53,108.65
Lele Goreng,100,5.04,17.98,14.95,225.53
Mashed Potato,100,18.07,2.03,4.87,124.24
Nasi Putih,100,27.52,2.73,0.3,123.29
Pisang,100,23.14,1.11,0.3,99.44
Pizza,100,29.7,11.93,12.02,275.11
Roti Putih,100,49.51,8.74,3.36,260.69
Sambal,100,10.18,0.97,0.98,53.27
Saus Tomat,100,25.22,0.98,0.19,107.38
Steak Sapi,100,0.0,25.97,18.09,266.89
Tahu Goreng,100,4.9,10.0,11.86,164.92
Telor Ceplok,100,0.8,12.43,9.75,139.58
Tempe Goreng,100,11.93,19.11,14.68,257.47
